journalist_slug,type,target_name,target_role,source_url
katie-bradford-1news,family,Sue Bradford,Former Green MP,https://en.wikipedia.org/wiki/Sue_Bradford
heather-du-plessis-allan-newstalkzb,spouse,Barry Soper,Political journalist Newstalk ZB,https://en.wikipedia.org/wiki/Heather_du_Plessis-Allan
barry-soper-newstalkzb,spouse,Heather du Plessis-Allan,Broadcaster Newstalk ZB,https://en.wikipedia.org/wiki/Barry_Soper
barry-soper-newstalkzb,employer,NZME,Parent company of Newstalk ZB and NZ Herald,https://www.nzme.co.nz/
heather-du-plessis-allan-newstalkzb,employer,NZME,Parent company of Newstalk ZB and NZ Herald,https://www.nzme.co.nz/
jason-walls-nzherald,employer,NZME,Parent company of NZ Herald,https://www.nzme.co.nz/
thomas-coughlan-nzherald,employer,NZME,Parent company of NZ Herald,https://www.nzme.co.nz/
claire-trevett-nzherald,employer,NZME,Parent company of NZ Herald,https://www.nzme.co.nz/
andrea-vance-stuff,employer,Stuff Limited,Formerly Fairfax NZ,https://www.stuff.co.nz/about-stuff
anna-fifield-stuff,employer,Stuff Limited,Formerly Fairfax NZ,https://www.stuff.co.nz/about-stuff
jane-patterson-rnz,employer,RNZ,Public broadcaster funded by NZ Government,https://www.rnz.co.nz/about
guyon-espiner-rnz,employer,RNZ,Public broadcaster funded by NZ Government,https://www.rnz.co.nz/about
john-campbell-1news,employer,RNZ,Public broadcaster funded by NZ Government,https://www.rnz.co.nz/about
barry-soper-newstalkzb,political,John Key,Former NZ Prime Minister (2008-2016) — personal friend,https://en.wikipedia.org/wiki/Barry_Soper
guyon-espiner-rnz,spouse,Emma Wehipeihana,Former personal assistant to Labour MP Darren Hughes (married 2012 separated 2023),https://en.wikipedia.org/wiki/Guyon_Espiner
guyon-espiner-rnz,political,Darren Hughes,Labour MP — Espiner's wife Emma Wehipeihana was his personal assistant,https://en.wikipedia.org/wiki/Darren_Hughes
john-campbell-1news,spouse,Emma Patterson,Documentary editor,https://en.wikipedia.org/wiki/John_Campbell_(journalist)
john-campbell-1news,employer,TVNZ,Chief Correspondent at TVNZ/1News,https://www.tvnz.co.nz/
tova-obrien-1news,employer,TVNZ,Co-host of TVNZ Breakfast (from April 2026),https://www.tvnz.co.nz/
andrea-vance-stuff,political,Peter Dunne,United Future leader and Revenue Minister — Textgate 2013 (86 emails in 13 days; Dunne resigned; Vance's phone records and parliamentary swipe card data were improperly accessed),https://en.wikipedia.org/wiki/Textgate_(New_Zealand)
jessica-mutch-mckay-1news,spouse,Iain McKay,Diplomatic Protection Squad officer (provided security for PMs Key English and Ardern),https://en.wikipedia.org/wiki/Jessica_Mutch_McKay
jessica-mutch-mckay-1news,employer,ANZ Bank,Head of Government Relations and Corporate Responsibility (from early 2024 — revolving door from TVNZ Political Editor),https://www.anz.co.nz/
katie-bradford-1news,political,Judith Collins,National MP who publicly attacked Bradford on social media in May 2014 and later apologised,https://en.wikipedia.org/wiki/Judith_Collins
katie-bradford-1news,employer,Infrastructure New Zealand,Director of Advocacy and Policy (from April 2025 — revolving door from TVNZ),https://www.infrastructure.org.nz/
claire-trevett-nzherald,employer,NZ Police,Chief Media and Communications Adviser (from May 2025 — revolving door from NZ Herald Political Editor),https://www.police.govt.nz/
jenna-lynch-stuff,spouse,Andrew Ketels,Former ACT Party Chief of Staff (5 years) and National Party ministerial adviser,https://en.wikipedia.org/wiki/ACT_New_Zealand
jenna-lynch-stuff,employer,Stuff,Political editor,https://www.stuff.co.nz/
mani-dunlop-rnz,employer,RNZ,Public broadcaster funded by NZ Government,https://www.rnz.co.nz/about
mani-dunlop-rnz,political,Kiri Allan,Labour Cabinet Minister (Justice/Conservation) — former fiancée; couple separated mid-2023 after Allan's drunk-driving arrest; Allan gave speech at Dunlop's RNZ farewell criticising RNZ management,https://en.wikipedia.org/wiki/Kiri_Allan
jesse-mulligan-rnz,employer,RNZ,Public broadcaster funded by NZ Government,https://www.rnz.co.nz/about
jesse-mulligan-rnz,political,Jacinda Ardern,Former NZ Prime Minister — personal friend; named in Ardern's 2025 memoir; interviewed Ardern on RNZ on memoir release,https://en.wikipedia.org/wiki/Jesse_Mulligan_(broadcaster)
jack-tame-tvnz,employer,TVNZ,Host of Q+A political interview programme,https://www.tvnz.co.nz/
duncan-garner-newshub,political,Guyon Espiner,RNZ journalist — served as best man at Espiner's 2012 wedding to Emma Wehipeihana,https://en.wikipedia.org/wiki/Guyon_Espiner
jane-clifton-newsroom,employer,Newsroom,Political columnist,https://www.newsroom.co.nz/
jane-clifton-newsroom,spouse,Trevor Mallard,Labour MP and Speaker of the House (married Dec 2014); served as NZ Ambassador to Ireland 2022-2024,https://en.wikipedia.org/wiki/Trevor_Mallard
jane-clifton-newsroom,political,Murray McCully,National MP and Foreign Minister — Clifton was in a relationship with McCully for approximately 20 years before her marriage to Mallard,https://en.wikipedia.org/wiki/Murray_McCully
matthew-hooton-nzherald,employer,NZME,NZ Herald columnist and Newstalk ZB panellist,https://www.nzme.co.nz/
matthew-hooton-nzherald,employer,RNZ,Regular political panellist on RNZ Nine to Noon and Morning Report,https://www.rnz.co.nz/about
matthew-hooton-nzherald,political,National Party,Paid political consultant for National Party while simultaneously serving as NZ Herald columnist and RNZ panellist,https://en.wikipedia.org/wiki/Matthew_Hooton
matthew-hooton-nzherald,political,ACT Party,Paid political consultant for ACT Party while simultaneously serving as public commentator,https://en.wikipedia.org/wiki/Matthew_Hooton
jamie-morton-nzherald,employer,NZME,NZ Herald science reporter (2011-2025),https://www.nzme.co.nz/
jamie-morton-nzherald,employer,The Conversation NZ,Deputy Editor (from 2025),https://theconversation.com/nz
anna-leask-nzherald,employer,NZME,Senior crime and justice journalist since 2008,https://www.nzme.co.nz/
anna-leask-nzherald,employer,Penguin Books NZ,Published true crime author,https://www.penguin.co.nz/
kurt-bayer-nzherald,employer,NZME,South Island Head of News,https://www.nzme.co.nz/
chris-keall-nzherald,employer,NZME,Technology Editor and Senior Business Writer,https://www.nzme.co.nz/
isaac-davison-nzherald,employer,NZME,Senior reporter — formerly 6 years in Parliamentary Press Gallery,https://www.nzme.co.nz/
ana-samways-nzherald,employer,NZME,Created Sideswipe column (2002-2023) then moved to The Listener,https://www.nzme.co.nz/
georgina-campbell-nzherald,employer,NZME,Wellington senior journalist covering local government (2016-2025),https://www.nzme.co.nz/
georgina-campbell-nzherald,employer,Hutt City Council,Left journalism for local government role in 2025 — poacher turned gamekeeper,https://www.huttcity.govt.nz/
anne-gibson-nzherald,employer,NZME,Property Editor since 2000,https://www.nzme.co.nz/
anne-gibson-nzherald,industry,REINZ,Three-time REINZ Property Media Awards supreme winner — deep property industry ties,https://www.reinz.co.nz/
belinda-feek-nzherald,employer,NZME,Open Justice reporter based in Hamilton,https://www.nzme.co.nz/
fran-osullivan-nzherald,employer,NZME,Head of Business at NZME and Herald columnist since 1997,https://www.nzme.co.nz/
fran-osullivan-nzherald,employer,NZ Inc,Managing Director of business intelligence firm,https://newzealandinc.com/
fran-osullivan-nzherald,political,NZ China Council,Advisory Board member and China Business Summit co-chair — potential conflict covering NZ-China trade/politics,https://nzchinacouncil.com/
